"month","active_mentors","active_mentees"
2021-02-01 00:00:00.000,3,3
2021-03-01 00:00:00.000,3,3
2021-04-01 00:00:00.000,7,7
2021-05-01 00:00:00.000,18,19
2021-06-01 00:00:00.000,24,27
2021-07-01 00:00:00.000,37,35
2021-08-01 00:00:00.000,53,56
2021-09-01 00:00:00.000,63,70
2021-10-01 00:00:00.000,86,89
2021-11-01 00:00:00.000,102,114
2021-12-01 00:00:00.000,135,149
2022-01-01 00:00:00.000,154,169
2022-02-01 00:00:00.000,174,202
2022-03-01 00:00:00.000,232,287
2022-04-01 00:00:00.000,298,386
2022-05-01 00:00:00.000,343,475
2022-06-01 00:00:00.000,384,552
2022-07-01 00:00:00.000,446,684
2022-08-01 00:00:00.000,509,883
2022-09-01 00:00:00.000,469,757
